Date,Open,High,Low,Close,Volume
2023-10-27,122.8800,123.3100,120.2057,122.1700,43850439
2023-10-26,123.2700,124.3297,121.2700,122.2800,57061140
2023-10-25,128.1600,128.3100,125.0700,125.6100,84366208
2023-10-24,137.8300,139.3599,137.4200,138.8100,44814321
2023-10-23,135.0400,137.6599,133.9500,136.5000,26317930
2023-10-20,137.3300,137.8700,135.0800,135.6000,26335673
2023-10-19,138.5000,139.6600,137.3800,137.7500,26066011
2023-10-18,139.4450,140.7200,137.3800,137.9600,23374998
2023-10-17,138.6300,139.9000,137.1800,139.7200,23515780
2023-10-16,138.1700,139.6300,137.9900,139.0950,28501871
2023-10-13,139.3800,140.0000,136.6150,137.3600,23435599
2023-10-12,141.0500,141.2200,138.2600,138.9700,24765537
2023-10-11,138.5800,141.1100,138.5800,140.5500,25884303
2023-10-10,138.5000,139.7200,137.3300,138.0600,27786613
2023-10-09,136.9400,138.9400,135.6100,138.4200,19278070
2023-10-06,134.0100,138.1550,134.0100,137.5800,27597598
2023-10-05,135.0700,135.4900,133.4500,135.0700,19832615
2023-10-04,132.7900,135.5700,132.5300,135.2400,26752295
2023-10-03,133.9400,134.2600,131.8400,132.4300,22989401
2023-10-02,131.2100,134.4200,131.1700,134.1700,22288038
2023-09-29,133.2800,134.0500,130.3600,130.8600,30859790
2023-09-28,129.8400,133.3000,129.7900,132.3100,22513132
2023-09-27,128.5700,130.8950,128.5700,130.5400,22746452
2023-09-26,129.7700,130.3645,127.2200,128.5650,25718704
2023-09-25,129.8300,131.1700,128.9600,131.1100,20094643
2023-09-22,130.7600,132.0250,129.6000,130.2500,26397337
2023-09-21,131.4400,132.2300,130.0700,130.4400,31503910
2023-09-20,138.0800,138.0800,133.6200,133.7400,29927475
2023-09-19,137.4200,138.4100,136.6200,138.0400,20353653
2023-09-18,136.6100,139.1600,136.6100,138.2100,21861346
2023-09-15,137.9800,138.5200,136.4800,137.4000,38919614
2023-09-14,137.6000,138.6950,136.2400,138.1000,24750968
2023-09-13,135.0900,136.9000,134.1500,136.7100,20749496
2023-09-12,136.2600,136.8701,135.1900,135.3400,18405505
2023-09-11,136.5400,137.4800,135.7850,136.9200,20763350
2023-09-08,134.9100,136.6600,134.8500,136.3800,23584188
2023-09-07,133.5900,135.5800,132.9500,135.2600,18844342
2023-09-06,136.0200,136.5299,133.6650,134.4600,18684534
2023-09-05,135.4400,136.4200,134.5801,135.7700,19403112
2023-09-01,137.4550,137.4550,134.8500,135.6600,21543687
2023-08-31,136.0100,138.0000,135.7900,136.1700,30053800
2023-08-30,134.7800,136.2750,134.0700,135.8800,28315769
2023-08-29,132.2400,136.5700,132.2400,134.5700,43075556
2023-08-28,131.3100,132.5400,130.1400,131.0100,20543266
2023-08-25,129.5400,130.7600,127.2500,129.8800,26762891
2023-08-24,133.9500,134.2500,129.5700,129.7800,28500694
2023-08-23,130.1800,133.4100,129.8700,132.3700,27819713
2023-08-22,128.5100,130.2780,128.3200,129.0800,22067520
2023-08-21,127.1750,128.7250,126.5600,128.3700,25248729
2023-08-18,128.5100,129.2500,126.3824,127.4600,30504769
2023-08-17,129.8000,131.9900,129.2900,129.9200,33446280
2023-08-16,128.7000,130.2809,127.8650,128.7000,25216068
2023-08-15,131.1000,131.4200,129.2800,129.7800,19770732
2023-08-14,129.3900,131.3700,128.9600,131.3300,24695608
2023-08-11,128.6600,129.9300,128.1700,129.5600,19591080
2023-08-10,131.3200,132.0500,129.4500,129.6900,20857754
2023-08-09,131.6600,132.0400,129.0000,129.6600,24912918
2023-08-08,130.6200,131.5100,129.5450,131.4000,23535181
